ISO_code_alpha3,Country,New business density rate mean,Economic freedom index mean,new_business_density_mean_scaled,economic_freedom_index_mean_scaled,combined_score
IND,India,0.10733333333333334,54.535999999999994,0.0037243947858473,0.3459229708064574,0.17482368279615235
IRL,Ireland,5.7733333333333325,79.38000000000001,0.22982176110667724,0.8090675217180571,0.5194446414123671
ISL,Iceland,10.919999999999998,74.11466666666666,0.43519553072625683,0.71091060487429,0.5730530678002734
ISR,Israel,3.2006666666666663,68.81733333333334,0.12716147911678635,0.6121571405490723,0.36965930983292933
ITA,Italy,2.367692307692308,61.53692307692308,0.09392227883847995,0.4764349404743128,0.28517860965639635
JAM,Jamaica,1.276,66.89733333333334,0.05035913806863527,0.5763642916620061,0.31336171486532066
JOR,Jordan,0.6846666666666666,66.926,0.026762436818302735,0.5768986987808061,0.3018305677995544
JPN,Japan,0.2285714285714286,72.4042857142857,0.008562307604606089,0.6790254970785151,0.3437939023415606
KAZ,Kazakhstan,1.5806666666666667,63.628,0.06251662676243681,0.515417023973752,0.2889668253680944
KGZ,Kyrgyzstan,1.009090909090909,60.75818181818182,0.03970833635638104,0.4619175612054326,0.2508129487809068
KHM,Cambodia,0.42,57.45666666666667,0.01620111731843575,0.40037035656140085,0.2082857369399183
KIR,Kiribati,0.049,46.761,0.0013966480446927373,0.2009805749226352,0.10118861148366398
KWT,Kuwait,1.9906666666666666,64.24066666666667,0.07887736100026602,0.5268384226290345,0.3028578918146502
LAO,Lao People's Democratic Republic,0.07153846153846154,52.01,0.0022960279943520165,0.29883300398941126,0.15056451599188164
LBR,Liberia,0.014000000000000002,50.04,0.0,0.26210804966257784,0.13105402483128892
LCA,Saint Lucia,2.6966666666666668,69.35083333333334,0.10704974727321095,0.62210270559139,0.3645762264323005
LKA,Sri Lanka,0.5081818181818182,58.07818181818182,0.01971994485960966,0.41195670963390285,0.21583832724675625
LSO,Lesotho,1.5733333333333335,50.995333333333335,0.06222399574354881,0.27991747759839924,0.17107073667097403
LTU,Lithuania,3.384,72.95,0.1344772545889864,0.689198762163976,0.4118380083764812
LUX,Luxembourg,14.113999999999999,74.909,0.5626496408619313,0.7257186532940608,0.6441841470779961
LVA,Latvia,8.573333333333332,68.86133333333333,0.34155360468209617,0.6129773933360675,0.47726549900908183
MAR,Morocco,1.5473333333333334,59.274,0.06118648576749135,0.43424928227881143,0.2477178840231514
MDV,Maldives,3.07,51.3475,0.12194732641660014,0.28648260691249383,0.20421496666454697
MEX,Mexico,0.6206666666666667,65.90400000000001,0.024208566108007448,0.5578464635919617,0.29102751484998457
MKD,North Macedonia,4.453333333333333,66.42266666666667,0.17714817770683688,0.5675155040204815,0.37233184086365917
MLI,Mali,0.20333333333333334,56.528333333333336,0.007555200851290235,0.38306426556305395,0.1953097332071721
MLT,Malta,13.248,67.124,0.528092577813248,0.5805898363222847,0.5543412070677664
MMR,Myanmar,0.11076923076923076,43.00692307692308,0.003861501626864755,0.13099666449653402,0.06742908306169938
MNE,Montenegro,7.300833333333333,62.57833333333334,0.2907754722000531,0.4958490237749028,0.393312247987478
MNG,Mongolia,5.804,59.40466666666667,0.2310454908220271,0.4366851844947367,0.3338653376583819
MUS,Mauritius,8.406,74.35533333333333,0.33487629688747,0.7153971390577035,0.5251367179725868
MYS,Malaysia,2.3160000000000003,68.42800000000001,0.09185953711093375,0.6048991461914174,0.34837934165117557
NGA,Nigeria,0.77,55.79600000000001,0.030167597765363124,0.36941202788859495,0.19978981282697905
NOR,Norway,7.415333333333334,70.78266666666667,0.29534450651769084,0.6487950983681942,0.4720698024429425
NPL,Nepal,0.786,52.54866666666667,0.03080606544293695,0.3088748865938382,0.1698404760183876
NZL,New Zealand,17.962666666666667,82.35466666666666,0.7162277201383346,0.8645215813479487,0.7903746507431416
OMN,Oman,1.7973333333333334,65.744,0.07116254322958233,0.5548637261847059,0.31301313470714415
PAK,Pakistan,0.05733333333333333,55.43,0.001729183293429103,0.36258901606949767,0.18215909968146338
PER,Peru,3.5353333333333334,66.69866666666667,0.14051609470603882,0.5726607260479973,0.35658841037701805
